THREE	S	reads	0.500000	217858.968750
THREE	S	writes	0.500000	209072.500000
THREE	1	reads	0.500000	196614.625000	1
THREE	1	writes	0.500000	187862.093750	1
THREE	1	reads	0.500000	195468.546875	2
THREE	1	writes	0.500000	188795.343750	2
THREE	1	reads	0.500000	31041.912109	4
THREE	1	writes	0.500000	20908.781250	4
THREE	S	reads	0.750000	217754.015625
THREE	S	writes	0.750000	211267.015625
THREE	1	reads	0.750000	201870.484375	1
THREE	1	writes	0.750000	186113.531250	1
THREE	1	reads	0.750000	192795.578125	2
THREE	1	writes	0.750000	189420.234375	2
THREE	1	reads	0.750000	41964.566406	4
THREE	1	writes	0.750000	26512.404297	4
THREE	S	reads	0.900000	219479.421875
THREE	S	writes	0.900000	211899.265625
THREE	1	reads	0.900000	200820.406250	1
THREE	1	writes	0.900000	185489.015625	1
THREE	1	reads	0.900000	198292.281250	2
THREE	1	writes	0.900000	190236.734375	2
THREE	1	reads	0.900000	63166.949219	4
THREE	1	writes	0.900000	41112.679688	4
THREE	S	reads	0.990000	218451.546875
THREE	S	writes	0.990000	213519.656250
THREE	1	reads	0.990000	200427.359375	1
THREE	1	writes	0.990000	191762.062500	1
THREE	1	reads	0.990000	196340.343750	2
THREE	1	writes	0.990000	194171.687500	2
THREE	1	reads	0.990000	137048.062500	4
THREE	1	writes	0.990000	80920.031250	4
THREE	S	reads	0.500000	220237.218750
THREE	S	writes	0.500000	214126.781250
THREE	2	reads	0.500000	376319.187500	1
THREE	2	writes	0.500000	346598.125000	1
THREE	2	reads	0.500000	380907.156250	2
THREE	2	writes	0.500000	349585.968750	2
THREE	2	reads	0.500000	45117.750000	4
THREE	2	writes	0.500000	29275.033203	4
THREE	S	reads	0.750000	218798.968750
THREE	S	writes	0.750000	212423.812500
THREE	2	reads	0.750000	349203.562500	1
THREE	2	writes	0.750000	321853.750000	1
THREE	2	reads	0.750000	370970.937500	2
THREE	2	writes	0.750000	335720.375000	2
THREE	2	reads	0.750000	59632.816406	4
THREE	2	writes	0.750000	39794.777344	4
THREE	S	reads	0.900000	218806.031250
THREE	S	writes	0.900000	211860.953125
THREE	2	reads	0.900000	371115.718750	1
THREE	2	writes	0.900000	325626.531250	1
THREE	2	reads	0.900000	364560.687500	2
THREE	2	writes	0.900000	334586.875000	2
THREE	2	reads	0.900000	92346.101562	4
THREE	2	writes	0.900000	58093.656250	4
THREE	S	reads	0.990000	217574.140625
THREE	S	writes	0.990000	211690.421875
THREE	2	reads	0.990000	368116.343750	1
THREE	2	writes	0.990000	326282.593750	1
THREE	2	reads	0.990000	364287.000000	2
THREE	2	writes	0.990000	328050.031250	2
THREE	2	reads	0.990000	218594.187500	4
THREE	2	writes	0.990000	133481.265625	4
THREE	S	reads	0.500000	219924.281250
THREE	S	writes	0.500000	213909.484375
THREE	4	reads	0.500000	661604.937500	1
THREE	4	writes	0.500000	565922.500000	1
THREE	4	reads	0.500000	633688.562500	2
THREE	4	writes	0.500000	582006.750000	2
THREE	4	reads	0.500000	62031.324219	4
THREE	4	writes	0.500000	42387.359375	4
THREE	S	reads	0.750000	219384.703125
THREE	S	writes	0.750000	212234.078125
THREE	4	reads	0.750000	649256.437500	1
THREE	4	writes	0.750000	528874.375000	1
THREE	4	reads	0.750000	652425.875000	2
THREE	4	writes	0.750000	561863.375000	2
THREE	4	reads	0.750000	83109.468750	4
THREE	4	writes	0.750000	53434.867188	4
THREE	S	reads	0.900000	216024.984375
THREE	S	writes	0.900000	212801.796875
THREE	4	reads	0.900000	619753.875000	1
THREE	4	writes	0.900000	533202.937500	1
THREE	4	reads	0.900000	636981.000000	2
THREE	4	writes	0.900000	550973.750000	2
THREE	4	reads	0.900000	126893.281250	4
THREE	4	writes	0.900000	77303.703125	4
THREE	S	reads	0.990000	214459.171875
THREE	S	writes	0.990000	211565.453125
THREE	4	reads	0.990000	631069.375000	1
THREE	4	writes	0.990000	512268.062500	1
THREE	4	reads	0.990000	635373.187500	2
THREE	4	writes	0.990000	545064.812500	2
THREE	4	reads	0.990000	321422.031250	4
THREE	4	writes	0.990000	201945.953125	4
