IDLE	EXPR	MODE	OUT_TIME	IN_COUNT	LOCK_MODE
2	COUNTER_2	serial	0.009000	1024
2	COUNTER_2	serial	0.019000	2048
2	COUNTER_2	serial	0.037000	4096
2	COUNTER_2	serial	0.072000	8192
2	COUNTER_2	serial	0.144000	16384
2	COUNTER_2	serial	0.289000	32768
2	COUNTER_2	serial	0.578000	65536
2	COUNTER_2	serial	1.051000	131072
2	COUNTER_2	serial	2.142000	262144
2	COUNTER_2	serial	4.330000	524288
2	COUNTER_2	serial	8.695000	1048576
2	COUNTER_2	parallel	0.765000	1024	1
2	COUNTER_2	parallel	0.786000	1024	2
2	COUNTER_2	parallel	0.671000	1024	4
2	COUNTER_2	parallel	0.447000	1024	8
2	COUNTER_2	parallel	0.404000	1024	16
2	COUNTER_2	parallel	1.278000	2048	1
2	COUNTER_2	parallel	1.310000	2048	2
2	COUNTER_2	parallel	1.236000	2048	4
2	COUNTER_2	parallel	0.565000	2048	8
2	COUNTER_2	parallel	0.630000	2048	16
2	COUNTER_2	parallel	2.509000	4096	1
2	COUNTER_2	parallel	2.561000	4096	2
2	COUNTER_2	parallel	2.104000	4096	4
2	COUNTER_2	parallel	1.128000	4096	8
2	COUNTER_2	parallel	1.089000	4096	16
2	COUNTER_2	parallel	4.675000	8192	1
2	COUNTER_2	parallel	4.931000	8192	2
2	COUNTER_2	parallel	3.947000	8192	4
2	COUNTER_2	parallel	2.159000	8192	8
2	COUNTER_2	parallel	2.057000	8192	16
2	COUNTER_2	parallel	9.513000	16384	1
2	COUNTER_2	parallel	9.499001	16384	2
2	COUNTER_2	parallel	7.795000	16384	4
2	COUNTER_2	parallel	4.105000	16384	8
2	COUNTER_2	parallel	4.305000	16384	16
2	COUNTER_2	parallel	18.315001	32768	1
2	COUNTER_2	parallel	18.734001	32768	2
2	COUNTER_2	parallel	14.384000	32768	4
2	COUNTER_2	parallel	7.812000	32768	8
2	COUNTER_2	parallel	7.932000	32768	16
2	COUNTER_2	parallel	34.980000	65536	1
2	COUNTER_2	parallel	37.035000	65536	2
2	COUNTER_2	parallel	31.840000	65536	4
2	COUNTER_2	parallel	16.955000	65536	8
2	COUNTER_2	parallel	15.875999	65536	16
2	COUNTER_2	parallel	54.612000	131072	1
2	COUNTER_2	parallel	64.681000	131072	2
2	COUNTER_2	parallel	55.097000	131072	4
2	COUNTER_2	parallel	32.993999	131072	8
2	COUNTER_2	parallel	30.415001	131072	16
2	COUNTER_2	parallel	77.361000	262144	1
2	COUNTER_2	parallel	73.026001	262144	2
2	COUNTER_2	parallel	69.436005	262144	4
2	COUNTER_2	parallel	42.916000	262144	8
2	COUNTER_2	parallel	59.259003	262144	16
2	COUNTER_2	parallel	141.031006	524288	1
2	COUNTER_2	parallel	101.961990	524288	2
2	COUNTER_2	parallel	74.375999	524288	4
2	COUNTER_2	parallel	42.731998	524288	8
2	COUNTER_2	parallel	43.284000	524288	16
2	COUNTER_2	parallel	215.167999	1048576	1
2	COUNTER_2	parallel	221.094986	1048576	2
2	COUNTER_2	parallel	195.435989	1048576	4
2	COUNTER_2	parallel	103.434998	1048576	8
2	COUNTER_2	parallel	108.075996	1048576	16
