SCAL	EXPR	N	OUT_COUNT	LOCK_MODE
4	COUNTER_3	1	2117826.000000	1
4	COUNTER_3	2	1354989.000000	1
4	COUNTER_3	4	302700.000000	1
4	COUNTER_3	8	173435.000000	1
4	COUNTER_3	16	213932.000000	1
4	COUNTER_3	32	497404.000000	1
4	COUNTER_3	64	240065.000000	1
4	COUNTER_3	1	41218.000000	2
4	COUNTER_3	2	111025.000000	2
4	COUNTER_3	4	335237.000000	2
4	COUNTER_3	8	911972.000000	2
4	COUNTER_3	16	417930.000000	2
4	COUNTER_3	32	559411.000000	2
4	COUNTER_3	64	596727.000000	2
4	COUNTER_3	1	230813.000000	4
4	COUNTER_3	2	1017585.000000	4
4	COUNTER_3	4	822509.000000	4
4	COUNTER_3	8	279529.000000	4
4	COUNTER_3	16	201022.000000	4
4	COUNTER_3	32	315214.000000	4
4	COUNTER_3	64	395037.000000	4
4	COUNTER_3	1	237481.000000	8
4	COUNTER_3	2	117022.000000	8
4	COUNTER_3	4	69207.000000	8
4	COUNTER_3	8	110121.000000	8
4	COUNTER_3	16	226720.000000	8
4	COUNTER_3	32	34626.000000	8
4	COUNTER_3	64	10735.000000	8
4	COUNTER_3	1	259394.000000	16
4	COUNTER_3	2	80467.000000	16
4	COUNTER_3	4	159297.000000	16
4	COUNTER_3	8	158415.000000	16
4	COUNTER_3	16	125887.000000	16
4	COUNTER_3	32	62553.000000	16
4	COUNTER_3	64	137278.000000	16
